日付,時刻,区,出没場所,緯度,経度,状況,ソース
2025/10/1,3:00,南区,南区南37条西11丁目5番付近(藻岩下橋から南に約120mの林内),43.007881,141.341609,鳴き声を確認,公式
2025/10/1,12:18,西区,西区西野8条10丁目8番付近(山際の畑付近),43.069667,141.257139,ヒグマを確認（親子）,公式
2025/10/1,14:25,南区,南区藤野1条5丁目付近(十五島公園内の白川橋付近),42.965769,141.301512,ヒグマを駆除,公式
2025/10/1,11:00,南区,南区藻岩下2丁目2番付近,43.00649,141.33971,ヒグマを目撃,公式
2025/10/1,18:55,南区,南区藤野1条5丁目1番付近(十五島公園駐車場のトイレ脇),42.967331,141.29917,ヒグマを目撃,公式
2025/10/1,20:48,南区,南区藤野2条1丁目9番付近(藤野むくどり公園北側で豊平川脇の緑地内),42.963688,141.312839,カメラでヒグマを確認,公式
2025/10/1,20:48,南区,南区南37条西11丁目5番付近(藻岩下橋から南に約120mの林内),43.00678,141.34064,カメラでヒグマを確認,公式
2025/10/1,18:05,清田区,清田区真栄409番地付近(白旗山競技場から北に約1kmの地点),42.969296,141.434668,鳴き声を確認,公式
2025/10/2,4:10,南区,南区砥山28番地1付近(砥山橋から北西に約70mの地点),42.965971,141.257756,ヒグマを目撃(親子),公式
2025/10/2,17:15,西区,西区西野290番地付近(宮丘公園展望台から北東に約110mの林内),43.082188,141.263789,ヒグマを目撃,公式
2025/10/2,17:40,南区,南区簾舞458番地付近,42.958306,141.255917,ヒグマを目撃,公式
2025/10/2,19:35,南区,南区小金湯712番地付近(国道230号線上の小金湯さくらの森入口から札幌中心部方面に約50mの地点),42.965064,141.220579,ヒグマを目撃,公式
2025/10/2,20:07,西区,西区西野8条10丁目8番付近(山際の畑付近),43.069766,141.257106,カメラでヒグマを確認,公式
2025/10/3,不明,南区,南区定山渓無番地(小天狗岳登山口から約500m付近),42.984558,141.148578,"ヒグマを目撃(2頭)
※目撃時間は不明",公式
2025/10/3,12:00,西区,西区西野9条9丁目5番付近(西野西公園内の散策路),42.06778,141.25624,フンを確認,公式
2025/10/3,18:12,西区,西区西野9条9丁目5番付近(西野西公園内の散策路),43.067632,141.256952,カメラでヒグマを確認,公式
2025/10/3,22:35,中央区,中央区宮の森1270番地付近(大倉山ジャンプ競技場から南東に約100mの地点),43.05055,141.29178,ヒグマを目撃,公式
